Sourcefile	20210805 154301 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 04:01:12.927 PM

Start Time	8/5/2021 03:43:10.017 PM
End Time	8/5/2021 04:00:58.653 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 03:43:57.907 PM	47.891	7.124950e-011	8/5/2021 03:43:57.968 PM	47.952	1.670993e-010	8/5/2021 03:43:58.184 PM	48.167	9.751339e-011	8/5/2021 03:43:58.402 PM	48.386	4.016104e-012	8/5/2021 03:43:58.941 PM	48.924	1.390206e-012	8/5/2021 03:43:59.480 PM	49.463	2.118056e-014	8/5/2021 03:43:59.559 PM	49.542	8.962178e-009
8/5/2021 03:43:59.619 PM	49.603	7.054388e-011	8/5/2021 03:43:59.681 PM	49.665	1.646627e-010	8/5/2021 03:43:59.896 PM	49.879	9.757904e-011	8/5/2021 03:44:00.113 PM	50.097	4.027416e-012	8/5/2021 03:44:00.654 PM	50.637	1.421002e-012	8/5/2021 03:44:01.191 PM	51.174	1.662129e-014	8/5/2021 03:44:01.269 PM	51.252	8.962178e-009
8/5/2021 03:44:01.329 PM	51.313	7.256262e-011	8/5/2021 03:44:01.392 PM	51.375	1.680863e-010	8/5/2021 03:44:01.607 PM	51.590	9.712185e-011	8/5/2021 03:44:01.825 PM	51.809	3.985265e-012	8/5/2021 03:44:02.365 PM	52.348	1.463628e-012	8/5/2021 03:44:02.903 PM	52.886	1.627060e-014	8/5/2021 03:44:02.982 PM	52.965	8.920279e-009
8/5/2021 03:44:03.042 PM	53.026	7.199989e-011	8/5/2021 03:44:03.104 PM	53.088	1.645887e-010	8/5/2021 03:44:03.320 PM	53.303	9.698600e-011	8/5/2021 03:44:03.534 PM	53.517	4.002323e-012	8/5/2021 03:44:04.072 PM	54.056	1.370751e-012	8/5/2021 03:44:04.611 PM	54.595	1.785679e-014	8/5/2021 03:44:04.690 PM	54.674	8.962178e-009
8/5/2021 03:44:04.751 PM	54.734	7.109843e-011	8/5/2021 03:44:04.813 PM	54.796	1.664977e-010	8/5/2021 03:44:05.027 PM	55.011	9.717402e-011	8/5/2021 03:44:05.245 PM	55.228	4.007937e-012	8/5/2021 03:44:05.782 PM	55.765	1.359599e-012	8/5/2021 03:44:06.320 PM	56.303	2.083720e-014	8/5/2021 03:44:06.399 PM	56.382	9.004274e-009
8/5/2021 03:44:06.461 PM	56.444	7.129880e-011	8/5/2021 03:44:06.521 PM	56.505	1.670770e-010	8/5/2021 03:44:06.737 PM	56.721	9.735537e-011	8/5/2021 03:44:06.956 PM	56.939	4.025732e-012	8/5/2021 03:44:07.495 PM	57.478	1.411098e-012	8/5/2021 03:44:08.034 PM	58.018	2.170521e-014	8/5/2021 03:44:08.112 PM	58.096	9.004274e-009
8/5/2021 03:44:08.174 PM	58.157	7.157192e-011	8/5/2021 03:44:08.236 PM	58.219	1.669092e-010	8/5/2021 03:44:08.450 PM	58.434	9.616347e-011	8/5/2021 03:44:08.664 PM	58.648	3.953335e-012	8/5/2021 03:44:09.205 PM	59.188	1.387951e-012	8/5/2021 03:44:09.743 PM	59.726	1.346234e-014	8/5/2021 03:44:09.822 PM	59.805	8.962178e-009
8/5/2021 03:44:09.882 PM	59.866	7.177354e-011	8/5/2021 03:44:09.944 PM	59.928	1.654630e-010	8/5/2021 03:44:10.160 PM	60.143	9.655540e-011	8/5/2021 03:44:10.377 PM	60.361	3.957040e-012	8/5/2021 03:44:10.917 PM	60.900	1.410390e-012	8/5/2021 03:44:11.456 PM	61.440	1.446679e-014	8/5/2021 03:44:11.536 PM	61.519	8.962178e-009
8/5/2021 03:44:11.597 PM	61.580	7.086750e-011	8/5/2021 03:44:11.657 PM	61.641	1.663915e-010	8/5/2021 03:44:11.872 PM	61.855	9.696832e-011	8/5/2021 03:44:12.090 PM	62.074	3.999732e-012	8/5/2021 03:44:12.630 PM	62.613	1.387703e-012	8/5/2021 03:44:13.166 PM	63.149	2.057349e-014	8/5/2021 03:44:13.248 PM	63.232	8.962178e-009
8/5/2021 03:44:13.311 PM	63.294	7.100197e-011	8/5/2021 03:44:13.373 PM	63.356	1.666281e-010	8/5/2021 03:44:13.586 PM	63.570	9.668693e-011	8/5/2021 03:44:13.801 PM	63.785	3.902948e-012	8/5/2021 03:44:14.338 PM	64.322	1.386632e-012	8/5/2021 03:44:14.877 PM	64.860	1.272281e-014	8/5/2021 03:44:14.957 PM	64.940	8.962178e-009
8/5/2021 03:44:15.017 PM	65.001	7.089556e-011	8/5/2021 03:44:15.079 PM	65.062	1.657905e-010	8/5/2021 03:44:15.294 PM	65.277	9.677602e-011	8/5/2021 03:44:15.513 PM	65.497	3.971624e-012	8/5/2021 03:44:16.053 PM	66.036	1.395641e-012	8/5/2021 03:44:16.590 PM	66.573	1.490203e-014	8/5/2021 03:44:16.668 PM	66.651	8.920279e-009
8/5/2021 03:44:16.729 PM	66.713	7.176508e-011	8/5/2021 03:44:16.791 PM	66.774	1.661616e-010	8/5/2021 03:44:17.006 PM	66.989	9.772464e-011	8/5/2021 03:44:17.221 PM	67.204	3.997792e-012	8/5/2021 03:44:17.759 PM	67.742	1.392996e-012	8/5/2021 03:44:18.297 PM	68.281	1.789281e-014	8/5/2021 03:44:18.376 PM	68.360	8.962178e-009
8/5/2021 03:44:18.439 PM	68.422	7.164932e-011	8/5/2021 03:44:18.501 PM	68.484	1.649079e-010	8/5/2021 03:44:18.717 PM	68.700	9.658098e-011	8/5/2021 03:44:18.930 PM	68.914	3.955286e-012	8/5/2021 03:44:19.469 PM	69.452	1.391640e-012	8/5/2021 03:44:20.006 PM	69.989	1.241759e-014	8/5/2021 03:44:20.085 PM	70.068	8.920279e-009
8/5/2021 03:44:20.146 PM	70.130	7.186245e-011	8/5/2021 03:44:20.208 PM	70.191	1.667022e-010	8/5/2021 03:44:20.423 PM	70.406	9.705529e-011	8/5/2021 03:44:20.639 PM	70.622	4.053005e-012	8/5/2021 03:44:21.175 PM	71.158	1.425544e-012	8/5/2021 03:44:21.713 PM	71.697	1.261231e-014	8/5/2021 03:44:21.792 PM	71.775	8.962178e-009
8/5/2021 03:44:21.853 PM	71.836	7.209209e-011	8/5/2021 03:44:21.914 PM	71.898	1.662761e-010	8/5/2021 03:44:22.128 PM	72.112	9.629560e-011	8/5/2021 03:44:22.343 PM	72.326	3.950789e-012	8/5/2021 03:44:22.880 PM	72.864	1.356123e-012	8/5/2021 03:44:23.418 PM	73.402	1.565803e-014	8/5/2021 03:44:23.497 PM	73.481	8.962178e-009
8/5/2021 03:44:23.560 PM	73.543	7.143621e-011	8/5/2021 03:44:23.621 PM	73.604	1.657335e-010	8/5/2021 03:44:23.836 PM	73.819	9.725368e-011	8/5/2021 03:44:24.054 PM	74.037	3.963894e-012	8/5/2021 03:44:24.592 PM	74.575	1.399166e-012	8/5/2021 03:44:25.128 PM	75.112	1.960933e-014	8/5/2021 03:44:25.208 PM	75.192	8.878575e-009
8/5/2021 03:44:25.270 PM	75.253	7.081641e-011	8/5/2021 03:44:25.330 PM	75.314	1.674061e-010	8/5/2021 03:44:25.546 PM	75.530	9.660970e-011	8/5/2021 03:44:25.760 PM	75.743	3.856287e-012	8/5/2021 03:44:26.297 PM	76.281	1.425068e-012	8/5/2021 03:44:26.833 PM	76.817	2.095471e-014	8/5/2021 03:44:26.912 PM	76.896	8.962178e-009
8/5/2021 03:44:26.975 PM	76.958	7.184971e-011	8/5/2021 03:44:27.036 PM	77.019	1.680070e-010	8/5/2021 03:44:27.250 PM	77.234	9.658126e-011	8/5/2021 03:44:27.464 PM	77.448	3.842537e-012	8/5/2021 03:44:28.001 PM	77.985	1.447418e-012	8/5/2021 03:44:28.540 PM	78.523	1.569864e-014	8/5/2021 03:44:28.618 PM	78.602	8.878575e-009
8/5/2021 03:44:28.680 PM	78.664	7.166915e-011	8/5/2021 03:44:28.742 PM	78.725	1.654856e-010	8/5/2021 03:44:28.954 PM	78.938	9.689018e-011	8/5/2021 03:44:29.168 PM	79.152	3.939536e-012	8/5/2021 03:44:29.706 PM	79.690	1.342779e-012	8/5/2021 03:44:30.246 PM	80.229	2.034397e-014	8/5/2021 03:44:30.325 PM	80.308	8.920279e-009
8/5/2021 03:44:30.384 PM	80.368	7.016551e-011	8/5/2021 03:44:30.446 PM	80.429	1.671441e-010	8/5/2021 03:44:30.661 PM	80.644	9.701562e-011	8/5/2021 03:44:30.876 PM	80.859	4.028675e-012	8/5/2021 03:44:31.413 PM	81.396	1.381043e-012	8/5/2021 03:44:31.950 PM	81.933	1.507417e-014	8/5/2021 03:44:32.029 PM	82.012	8.962178e-009
8/5/2021 03:44:32.089 PM	82.073	7.125645e-011	8/5/2021 03:44:32.152 PM	82.135	1.676923e-010	8/5/2021 03:44:32.366 PM	82.349	9.671470e-011	8/5/2021 03:44:32.581 PM	82.564	4.034845e-012	8/5/2021 03:44:33.117 PM	83.100	1.385402e-012	8/5/2021 03:44:33.656 PM	83.639	1.465481e-014	8/5/2021 03:44:33.735 PM	83.718	8.920279e-009
8/5/2021 03:44:33.795 PM	83.779	7.120666e-011	8/5/2021 03:44:33.856 PM	83.840	1.645837e-010	8/5/2021 03:44:34.072 PM	84.055	9.619341e-011	8/5/2021 03:44:34.287 PM	84.270	3.960844e-012	8/5/2021 03:44:34.826 PM	84.810	1.449713e-012	8/5/2021 03:44:35.366 PM	85.349	1.927879e-014	8/5/2021 03:44:35.446 PM	85.429	8.920279e-009
