Sourcefile	20210805 093341 Meng_500ms_CO2_2panel.qmp
Exporttime	8/5/2021 11:40:38.550 AM

Start Time	8/5/2021 09:33:54.686 AM
End Time	8/5/2021 11:40:28.755 AM

		18			28			32			40			44			45			47			49			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 09:35:20.796 AM	86.110	1.177937e-010	8/5/2021 09:35:21.011 AM	86.326	1.525579e-010	8/5/2021 09:35:21.552 AM	86.866	8.615642e-011	8/5/2021 09:35:22.089 AM	87.404	3.594955e-012	8/5/2021 09:35:22.630 AM	87.944	3.613502e-013	8/5/2021 09:35:23.169 AM	88.484	-2.386461e-015	8/5/2021 09:35:23.710 AM	89.024	-5.538698e-015	8/5/2021 09:35:24.250 AM	89.565	-6.181481e-015	8/5/2021 09:35:24.328 AM	89.643	9.392108e-009
8/5/2021 09:35:24.391 AM	89.705	1.162053e-010	8/5/2021 09:35:24.606 AM	89.920	1.525681e-010	8/5/2021 09:35:25.146 AM	90.461	8.562814e-011	8/5/2021 09:35:25.687 AM	91.001	3.617070e-012	8/5/2021 09:35:26.226 AM	91.541	3.717071e-013	8/5/2021 09:35:26.766 AM	92.080	-3.235250e-016	8/5/2021 09:35:27.305 AM	92.620	-6.134173e-015	8/5/2021 09:35:27.846 AM	93.160	-2.680686e-015	8/5/2021 09:35:27.925 AM	93.239	9.436223e-009
8/5/2021 09:35:27.986 AM	93.301	1.176371e-010	8/5/2021 09:35:28.204 AM	93.518	1.520886e-010	8/5/2021 09:35:28.743 AM	94.057	8.590830e-011	8/5/2021 09:35:29.280 AM	94.595	3.622004e-012	8/5/2021 09:35:29.818 AM	95.133	3.845337e-013	8/5/2021 09:35:30.357 AM	95.671	-1.657917e-015	8/5/2021 09:35:30.895 AM	96.209	-1.651813e-015	8/5/2021 09:35:31.432 AM	96.747	-8.094251e-015	8/5/2021 09:35:31.513 AM	96.828	9.392108e-009
8/5/2021 09:35:31.576 AM	96.890	1.168041e-010	8/5/2021 09:35:31.791 AM	97.105	1.510134e-010	8/5/2021 09:35:32.327 AM	97.641	8.593701e-011	8/5/2021 09:35:32.865 AM	98.180	3.618171e-012	8/5/2021 09:35:33.407 AM	98.721	3.731254e-013	8/5/2021 09:35:33.944 AM	99.259	-8.451348e-016	8/5/2021 09:35:34.485 AM	99.799	-3.369247e-015	8/5/2021 09:35:35.024 AM	100.338	-2.600719e-015	8/5/2021 09:35:35.103 AM	100.417	9.392108e-009
8/5/2021 09:35:35.165 AM	100.479	1.179932e-010	8/5/2021 09:35:35.379 AM	100.694	1.514199e-010	8/5/2021 09:35:35.920 AM	101.234	8.603804e-011	8/5/2021 09:35:36.461 AM	101.775	3.626719e-012	8/5/2021 09:35:37.000 AM	102.314	3.804137e-013	8/5/2021 09:35:37.538 AM	102.853	-7.666952e-016	8/5/2021 09:35:38.080 AM	103.394	-4.887375e-015	8/5/2021 09:35:38.618 AM	103.933	-4.103589e-015	8/5/2021 09:35:38.696 AM	104.011	9.392108e-009
8/5/2021 09:35:38.760 AM	104.074	1.174908e-010	8/5/2021 09:35:38.975 AM	104.289	1.510456e-010	8/5/2021 09:35:39.513 AM	104.828	8.549021e-011	8/5/2021 09:35:40.054 AM	105.368	3.552699e-012	8/5/2021 09:35:40.592 AM	105.907	3.487882e-013	8/5/2021 09:35:41.134 AM	106.448	5.115978e-015	8/5/2021 09:35:41.672 AM	106.987	-6.034062e-015	8/5/2021 09:35:42.213 AM	107.527	-5.137653e-015	8/5/2021 09:35:42.291 AM	107.606	9.348199e-009
8/5/2021 09:35:42.354 AM	107.669	1.163421e-010	8/5/2021 09:35:42.569 AM	107.884	1.518810e-010	8/5/2021 09:35:43.109 AM	108.423	8.545325e-011	8/5/2021 09:35:43.648 AM	108.963	3.625458e-012	8/5/2021 09:35:44.186 AM	109.501	4.007650e-013	8/5/2021 09:35:44.725 AM	110.039	1.590161e-016	8/5/2021 09:35:45.262 AM	110.576	-3.051825e-015	8/5/2021 09:35:45.800 AM	111.115	-5.153216e-015	8/5/2021 09:35:45.880 AM	111.194	9.392108e-009
8/5/2021 09:35:45.942 AM	111.256	1.165956e-010	8/5/2021 09:35:46.158 AM	111.472	1.513209e-010	8/5/2021 09:35:46.695 AM	112.009	8.546517e-011	8/5/2021 09:35:47.232 AM	112.547	3.616375e-012	8/5/2021 09:35:47.769 AM	113.084	3.809104e-013	8/5/2021 09:35:48.307 AM	113.622	-1.256256e-015	8/5/2021 09:35:48.847 AM	114.161	-4.707607e-015	8/5/2021 09:35:49.386 AM	114.701	-4.610243e-015	8/5/2021 09:35:49.464 AM	114.779	9.392108e-009
8/5/2021 09:35:49.527 AM	114.841	1.187298e-010	8/5/2021 09:35:49.742 AM	115.056	1.522523e-010	8/5/2021 09:35:50.280 AM	115.594	8.558816e-011	8/5/2021 09:35:50.816 AM	116.131	3.655359e-012	8/5/2021 09:35:51.357 AM	116.671	3.672446e-013	8/5/2021 09:35:51.894 AM	117.208	5.586926e-015	8/5/2021 09:35:52.431 AM	117.745	-3.602429e-015	8/5/2021 09:35:52.969 AM	118.284	-1.342327e-015	8/5/2021 09:35:53.047 AM	118.361	9.436223e-009
8/5/2021 09:35:53.110 AM	118.424	1.179985e-010	8/5/2021 09:35:53.324 AM	118.638	1.519948e-010	8/5/2021 09:35:53.863 AM	119.177	8.534308e-011	8/5/2021 09:35:54.400 AM	119.715	3.546621e-012	8/5/2021 09:35:54.937 AM	120.252	3.481832e-013	8/5/2021 09:35:55.475 AM	120.790	2.673057e-015	8/5/2021 09:35:56.013 AM	121.327	-4.286414e-015	8/5/2021 09:35:56.552 AM	121.867	-4.188437e-015	8/5/2021 09:35:56.632 AM	121.946	9.436223e-009
