Sourcefile	20210805 143133 Meng_500ms_CO2_wo_47_49.qmp
Exporttime	8/5/2021 03:27:42.010 PM

Start Time	8/5/2021 02:31:59.810 PM
End Time	8/5/2021 03:27:33.531 PM

		18			28			32			40			44			45			TP	
Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Ion Current [A]	Time	Time Relative [s]	Pressure [mbar]	
8/5/2021 02:33:03.186 PM	63.377	7.393491e-011	8/5/2021 02:33:03.248 PM	63.438	1.511195e-010	8/5/2021 02:33:03.464 PM	63.654	8.690029e-011	8/5/2021 02:33:03.682 PM	63.873	3.560340e-012	8/5/2021 02:33:04.223 PM	64.413	1.234419e-012	8/5/2021 02:33:04.762 PM	64.953	1.170278e-014	8/5/2021 02:33:04.840 PM	65.031	8.472153e-009
8/5/2021 02:33:04.903 PM	65.093	7.299250e-011	8/5/2021 02:33:04.965 PM	65.155	1.499219e-010	8/5/2021 02:33:05.180 PM	65.370	8.731472e-011	8/5/2021 02:33:05.393 PM	65.584	3.540361e-012	8/5/2021 02:33:05.935 PM	66.125	1.252078e-012	8/5/2021 02:33:06.472 PM	66.663	1.173147e-014	8/5/2021 02:33:06.552 PM	66.742	8.472153e-009
8/5/2021 02:33:06.614 PM	66.804	7.354234e-011	8/5/2021 02:33:06.674 PM	66.865	1.500265e-010	8/5/2021 02:33:06.890 PM	67.081	8.761077e-011	8/5/2021 02:33:07.105 PM	67.296	3.526230e-012	8/5/2021 02:33:07.644 PM	67.834	1.235856e-012	8/5/2021 02:33:08.183 PM	68.373	1.232266e-014	8/5/2021 02:33:08.262 PM	68.452	8.432544e-009
8/5/2021 02:33:08.322 PM	68.513	7.401374e-011	8/5/2021 02:33:08.384 PM	68.574	1.497968e-010	8/5/2021 02:33:08.599 PM	68.789	8.678059e-011	8/5/2021 02:33:08.813 PM	69.003	3.549346e-012	8/5/2021 02:33:09.352 PM	69.542	1.222830e-012	8/5/2021 02:33:09.889 PM	70.080	1.768587e-014	8/5/2021 02:33:09.968 PM	70.158	8.432544e-009
8/5/2021 02:33:10.029 PM	70.219	7.319630e-011	8/5/2021 02:33:10.090 PM	70.281	1.491048e-010	8/5/2021 02:33:10.305 PM	70.496	8.753998e-011	8/5/2021 02:33:10.525 PM	70.715	3.626534e-012	8/5/2021 02:33:11.064 PM	71.254	1.238557e-012	8/5/2021 02:33:11.602 PM	71.793	1.589580e-014	8/5/2021 02:33:11.680 PM	71.871	8.432544e-009
8/5/2021 02:33:11.743 PM	71.933	7.329382e-011	8/5/2021 02:33:11.805 PM	71.995	1.486944e-010	8/5/2021 02:33:12.019 PM	72.210	8.714321e-011	8/5/2021 02:33:12.238 PM	72.428	3.645918e-012	8/5/2021 02:33:12.778 PM	72.969	1.197186e-012	8/5/2021 02:33:13.319 PM	73.509	1.005860e-014	8/5/2021 02:33:13.397 PM	73.587	8.393121e-009
8/5/2021 02:33:13.458 PM	73.649	7.382503e-011	8/5/2021 02:33:13.520 PM	73.710	1.505554e-010	8/5/2021 02:33:13.735 PM	73.925	8.685903e-011	8/5/2021 02:33:13.953 PM	74.144	3.645463e-012	8/5/2021 02:33:14.490 PM	74.681	1.254136e-012	8/5/2021 02:33:15.029 PM	75.219	2.310707e-014	8/5/2021 02:33:15.107 PM	75.298	8.432544e-009
8/5/2021 02:33:15.169 PM	75.360	7.381230e-011	8/5/2021 02:33:15.231 PM	75.421	1.516429e-010	8/5/2021 02:33:15.446 PM	75.636	8.738558e-011	8/5/2021 02:33:15.660 PM	75.850	3.660616e-012	8/5/2021 02:33:16.200 PM	76.390	1.247485e-012	8/5/2021 02:33:16.737 PM	76.928	1.132340e-014	8/5/2021 02:33:16.818 PM	77.009	8.432544e-009
8/5/2021 02:33:16.880 PM	77.071	7.254335e-011	8/5/2021 02:33:16.942 PM	77.132	1.506171e-010	8/5/2021 02:33:17.155 PM	77.346	8.637624e-011	8/5/2021 02:33:17.374 PM	77.564	3.595246e-012	8/5/2021 02:33:17.913 PM	78.104	1.218445e-012	8/5/2021 02:33:18.453 PM	78.643	1.176169e-014	8/5/2021 02:33:18.530 PM	78.721	8.432544e-009
8/5/2021 02:33:18.593 PM	78.784	7.356603e-011	8/5/2021 02:33:18.655 PM	78.845	1.487950e-010	8/5/2021 02:33:18.870 PM	79.060	8.688802e-011	8/5/2021 02:33:19.085 PM	79.275	3.582598e-012	8/5/2021 02:33:19.624 PM	79.814	1.245925e-012	8/5/2021 02:33:20.162 PM	80.353	1.212550e-014	8/5/2021 02:33:20.247 PM	80.437	8.432544e-009
8/5/2021 02:33:20.309 PM	80.499	7.331811e-011	8/5/2021 02:33:20.370 PM	80.561	1.511033e-010	8/5/2021 02:33:20.585 PM	80.776	8.713739e-011	8/5/2021 02:33:20.800 PM	80.990	3.638696e-012	8/5/2021 02:33:21.340 PM	81.530	1.234708e-012	8/5/2021 02:33:21.878 PM	82.068	1.275028e-014	8/5/2021 02:33:21.961 PM	82.152	8.432544e-009
8/5/2021 02:33:22.024 PM	82.214	7.373876e-011	8/5/2021 02:33:22.086 PM	82.276	1.514577e-010	8/5/2021 02:33:22.301 PM	82.491	8.681968e-011	8/5/2021 02:33:22.517 PM	82.707	3.685857e-012	8/5/2021 02:33:23.055 PM	83.245	1.226443e-012	8/5/2021 02:33:23.592 PM	83.783	1.899921e-014	8/5/2021 02:33:23.680 PM	83.871	8.432544e-009
8/5/2021 02:33:23.741 PM	83.931	7.336607e-011	8/5/2021 02:33:23.802 PM	83.993	1.507211e-010	8/5/2021 02:33:24.016 PM	84.207	8.710688e-011	8/5/2021 02:33:24.232 PM	84.422	3.502267e-012	8/5/2021 02:33:24.770 PM	84.961	1.195504e-012	8/5/2021 02:33:25.309 PM	85.499	1.155628e-014	8/5/2021 02:33:25.388 PM	85.578	8.432544e-009
8/5/2021 02:33:25.448 PM	85.639	7.318515e-011	8/5/2021 02:33:25.511 PM	85.701	1.493475e-010	8/5/2021 02:33:25.726 PM	85.916	8.741178e-011	8/5/2021 02:33:25.941 PM	86.131	3.641857e-012	8/5/2021 02:33:26.478 PM	86.668	1.219924e-012	8/5/2021 02:33:27.017 PM	87.208	1.117996e-014	8/5/2021 02:33:27.096 PM	87.287	8.432544e-009
8/5/2021 02:33:27.158 PM	87.348	7.330748e-011	8/5/2021 02:33:27.219 PM	87.410	1.498685e-010	8/5/2021 02:33:27.433 PM	87.624	8.738187e-011	8/5/2021 02:33:27.648 PM	87.839	3.573264e-012	8/5/2021 02:33:28.188 PM	88.378	1.254527e-012	8/5/2021 02:33:28.727 PM	88.917	1.791050e-014	8/5/2021 02:33:28.806 PM	88.996	8.432544e-009
8/5/2021 02:33:28.867 PM	89.058	7.331720e-011	8/5/2021 02:33:28.929 PM	89.120	1.517562e-010	8/5/2021 02:33:29.144 PM	89.335	8.758177e-011	8/5/2021 02:33:29.360 PM	89.550	3.610438e-012	8/5/2021 02:33:29.896 PM	90.087	1.225857e-012	8/5/2021 02:33:30.438 PM	90.628	2.271426e-014	8/5/2021 02:33:30.520 PM	90.711	8.393121e-009
8/5/2021 02:33:30.581 PM	90.771	7.293426e-011	8/5/2021 02:33:30.642 PM	90.833	1.489336e-010	8/5/2021 02:33:30.856 PM	91.047	8.684135e-011	8/5/2021 02:33:31.072 PM	91.262	3.635406e-012	8/5/2021 02:33:31.610 PM	91.801	1.237352e-012	8/5/2021 02:33:32.150 PM	92.340	1.020847e-014	8/5/2021 02:33:32.233 PM	92.424	8.432544e-009
8/5/2021 02:33:32.294 PM	92.484	7.273984e-011	8/5/2021 02:33:32.355 PM	92.546	1.493667e-010	8/5/2021 02:33:32.570 PM	92.761	8.682826e-011	8/5/2021 02:33:32.790 PM	92.980	3.529524e-012	8/5/2021 02:33:33.328 PM	93.518	1.222809e-012	8/5/2021 02:33:33.864 PM	94.055	1.292577e-014	8/5/2021 02:33:33.944 PM	94.134	8.393121e-009
8/5/2021 02:33:34.005 PM	94.195	7.224120e-011	8/5/2021 02:33:34.065 PM	94.256	1.507817e-010	8/5/2021 02:33:34.280 PM	94.471	8.704921e-011	8/5/2021 02:33:34.498 PM	94.689	3.631403e-012	8/5/2021 02:33:35.036 PM	95.226	1.218829e-012	8/5/2021 02:33:35.573 PM	95.763	8.973264e-015	8/5/2021 02:33:35.657 PM	95.848	8.393121e-009
8/5/2021 02:33:35.719 PM	95.909	7.469931e-011	8/5/2021 02:33:35.781 PM	95.971	1.509031e-010	8/5/2021 02:33:35.994 PM	96.185	8.696070e-011	8/5/2021 02:33:36.215 PM	96.405	3.660516e-012	8/5/2021 02:33:36.752 PM	96.943	1.180887e-012	8/5/2021 02:33:37.293 PM	97.483	1.558448e-014	8/5/2021 02:33:37.373 PM	97.563	8.393121e-009
8/5/2021 02:33:37.433 PM	97.624	7.360502e-011	8/5/2021 02:33:37.496 PM	97.686	1.517211e-010	8/5/2021 02:33:37.711 PM	97.901	8.702353e-011	8/5/2021 02:33:37.925 PM	98.115	3.556204e-012	8/5/2021 02:33:38.464 PM	98.655	1.248275e-012	8/5/2021 02:33:39.004 PM	99.194	1.583078e-014	8/5/2021 02:33:39.082 PM	99.273	8.393121e-009
8/5/2021 02:33:39.144 PM	99.334	7.304000e-011	8/5/2021 02:33:39.206 PM	99.396	1.502210e-010	8/5/2021 02:33:39.421 PM	99.611	8.694539e-011	8/5/2021 02:33:39.640 PM	99.830	3.672915e-012	8/5/2021 02:33:40.178 PM	100.369	1.222925e-012	8/5/2021 02:33:40.719 PM	100.909	1.566658e-014	8/5/2021 02:33:40.799 PM	100.989	8.393121e-009
8/5/2021 02:33:40.860 PM	101.050	7.223958e-011	8/5/2021 02:33:40.921 PM	101.112	1.476059e-010	8/5/2021 02:33:41.137 PM	101.328	8.702443e-011	8/5/2021 02:33:41.352 PM	101.542	3.602064e-012	8/5/2021 02:33:41.891 PM	102.082	1.255985e-012	8/5/2021 02:33:42.432 PM	102.623	1.718411e-014	8/5/2021 02:33:42.512 PM	102.702	8.432544e-009
8/5/2021 02:33:42.573 PM	102.763	7.350537e-011	8/5/2021 02:33:42.633 PM	102.824	1.511304e-010	8/5/2021 02:33:42.848 PM	103.039	8.737452e-011	8/5/2021 02:33:43.064 PM	103.254	3.602521e-012	8/5/2021 02:33:43.603 PM	103.794	1.252665e-012	8/5/2021 02:33:44.143 PM	104.333	1.344005e-014	8/5/2021 02:33:44.222 PM	104.412	8.432544e-009
8/5/2021 02:33:44.284 PM	104.474	7.240569e-011	8/5/2021 02:33:44.345 PM	104.536	1.503251e-010	8/5/2021 02:33:44.560 PM	104.751	8.764740e-011	8/5/2021 02:33:44.776 PM	104.966	3.562095e-012	8/5/2021 02:33:45.314 PM	105.505	1.222623e-012	8/5/2021 02:33:45.854 PM	106.044	1.850446e-014	8/5/2021 02:33:45.939 PM	106.130	8.432544e-009
