,O2,CO2,45CO2,47CO2,49CO2,O2_Ar
278.817,372.1808505736924,2.5816813093773545,-0.22246372421840796,-0.32222600676850305,-0.32472505951408587,364.9447990357198
282.41,372.6556699096983,2.7721500188941093,-0.4399399091051699,-0.455712369993543,-0.3449249852341883,361.89817906228245
285.999,374.16203655842713,3.9040485707796235,-0.36464586519315595,-0.43651165298197614,-0.354891465230023,364.9335472398243
289.58,373.76469184573807,4.0018003201540715,-0.40861270943426536,-0.3468599143216725,-0.33609695412154367,361.6473868471575
293.17,372.70515793815446,2.8664370710209033,-0.2767600168136236,-0.35574349103344954,-0.3133809219568355,361.06464247309833
296.756,372.99120141865217,3.004783472369398,-0.22439040570966967,-0.22154653036359928,-0.32255781150053914,365.5031072567158
300.338,373.42744696477337,3.497204731109408,-0.24417822190756955,-0.18919881166807342,-0.2851302614401246,368.72224173985506
303.918,373.1329047146671,3.1037214110141105,-0.2439715781154404,-0.23846208727537851,-0.2976335078062154,363.5045443425735
307.509,372.09256125460496,4.223795673557215,-0.3601230302700587,-0.3853059453684916,-0.31668329335450673,361.50414535671916
311.097,372.46438429671093,3.25966418182588,-0.22245025634550686,-0.3922963374846917,-0.41217851667611366,367.0648712079509
314.69,372.52328684572166,2.893476242560654,-0.1493237639160934,-0.3878438358400214,-0.3470614896139313,365.9313425209283
318.282,371.62382863418486,3.1939574882127992,-0.4564880883753556,-0.21248456879034083,-0.3792869295988943,363.7958599252617
321.873,371.0128432520377,3.775370966866698,-0.47823079761302983,-0.31684628397923337,-0.45409601258243637,363.34096698619885
325.465,371.6555888386578,4.21158208667716,-0.41183614650246825,-0.3121107818506247,-0.45496609400381127,363.3760322896117
329.055,373.0042132164593,4.181057168156791,-0.2821952793809224,-0.320970805113099,-0.35300582435244865,365.8826140397384
332.643,373.06054791771066,3.8035603364456683,-0.33789345000831295,-0.3559528298186778,-0.33207664054926994,366.60998008078286
336.236,372.6004602737333,3.668179424296345,-0.24787341324875167,-0.31813912854360965,-0.33872313752618183,368.73405362102477
339.826,371.95413466263426,3.5508130416630035,-0.2725913835470314,-0.27658419563617676,-0.3334491127589301,364.18396026500284
343.416,372.00658794213433,3.050459107446609,-0.23035961400354563,-0.3049439739704262,-0.30962845591231913,364.30477219126
347.004,372.60938041743464,3.5749891589516483,-0.22976039033518053,-0.3538134956157491,-0.28503953182455244,370.1640981860235
350.593,372.3398134808557,3.7275560554720197,-0.33944903036235025,-0.3856860473061808,-0.3289712021196126,362.07318934757023
354.186,371.5855928253993,3.501565440128963,-0.3546616174490145,-0.16258487851834022,-0.2716826734075553,361.1248722380126
357.776,371.00531264278584,3.948336476750532,-0.31861421622869496,-0.2171764343027591,-0.2732533315503251,359.85745248810014
361.36,370.65377797803586,3.5279767568764493,-0.23938753640090066,-0.3848688974889032,-0.3188918832816856,363.8040050727174
364.945,371.1820390422716,2.873575280806738,-0.32659500286753507,-0.3153904665850827,-0.4141565798430814,366.55647058349365
