time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,cyt_CO2
6215.959,17.696866542175236,2544.611140349413,374.1541025135716,3.728823671035856e-18,3.8362621099591536e-19,3.345197460039941e-18,15.487450225743824
6219.54,17.66926144520823,2544.5140672857383,374.27878067421324,3.7376183874277125e-18,3.886125518392609e-19,3.349005835588452e-18,15.457329795324464
6223.13,17.642032883199573,2544.416308276266,374.40376824569375,3.7463220379139384e-18,3.936769429425845e-19,3.352645094971354e-18,15.427697596712477
6226.714,17.615179592080686,2544.317867026323,374.5290627867563,3.754934646189065e-18,3.988158673240784e-19,3.3561187788649866e-18,15.398550027314236
6230.295,17.588700199487718,2544.218747365426,374.65466184024524,3.763455934823246e-18,4.0402544034058295e-19,3.359430494482663e-18,15.369883332294886
6233.882,17.562593224382244,2544.1189532601593,374.78056292061774,3.771885329125792e-18,4.0930141619511247e-19,3.3625839129306796e-18,15.341693605945334
6237.468000000001,17.536857076796224,2544.0184888266635,374.90676350169963,3.780221961810822e-18,4.146391953733443e-19,3.365582766437478e-18,15.313976793257282
6241.048000000001,17.511490057702286,2543.917358342748,375.0332610047093,3.788464678430078e-18,4.2003383296700686e-19,3.368430845463071e-18,15.286728691702653
6244.639,17.48649035901067,2543.8155662595777,375.16005278657116,3.7966120435362456e-18,4.2548004784055324e-19,3.3711319956956925e-18,15.25994495321417
6248.226,17.46185606369419,2543.713117212919,375.28713612854636,3.804662347538697e-18,4.3097223259588135e-19,3.3736901149428146e-18,15.233621086363726
6251.815,17.437585146041975,2543.610016033913,375.4145082252046,3.812613614212326e-18,4.365044642882447e-19,3.376109149924081e-18,15.207752458734307
6255.404,17.41367547204256,2543.506267759362,375.5421661737551,3.820463608818545e-18,4.420705158446366e-19,3.3783930929739083e-18,15.182334299480921
6258.999,17.390124799896643,2543.401877641499,375.6701069637639,3.828209846826522e-18,4.476638681686983e-19,3.3805459786578232e-18,15.157361702078193
6262.590999999999,17.366930780659455,2543.2968511572312,375.7983274672689,3.835849603203051e-18,4.532777228937425e-19,3.3825718803093082e-18,15.132829627250043
6266.170999999999,17.34409095901236,2543.191194016829,375.92682442931834,3.8433799222398925e-18,4.589050157460295e-19,3.3844749064938627e-18,15.108732906076693
6269.758000000001,17.321602774163207,2543.0849121720516,376.0555944589445,3.850797627887029e-18,4.645384304800093e-19,3.38625919740702e-18,15.085066243274033
6273.358,17.299463560874425,2542.9780118236968,376.1846340205885,3.858099334560842e-18,4.7017041334762275e-19,3.3879289212132193e-18,15.061824220639789
6276.95,17.27767055061779,2542.870499428548,376.3139394259938,3.865281458396093e-18,4.757931880638948e-19,3.389488270332198e-18,15.039001300661038
6280.543000000001,17.256220872854428,2542.762381705728,376.44350682657694,3.872340228911164e-18,4.813987712314069e-19,3.390941457679757e-18,15.016591830277097
6284.137,17.235111556438554,2542.653665642431,376.5733322062901,3.8792717010563325e-18,4.86978988186871e-19,3.3922927128694617e-18,14.99459004479192
6287.736999999999,17.214339531142826,2542.5443584990307,376.7034113749861,3.886071767615172e-18,4.925254892331944e-19,3.393546278381978e-18,14.972990071929523
6291.325,17.193901629303493,2542.434467813562,376.8337399622936,3.8927361719299296e-18,4.980297662214222e-19,3.3947064057085076e-18,14.951785936026285
6294.9169999999995,17.173794587582858,2542.324001405563,376.9643134120134,3.899260520922068e-18,5.034831694473334e-19,3.3957773514747343e-18,14.930971562353447
6298.504,17.154015048846645,2542.2129673792715,377.0951269770413,3.905640298379976e-18,5.088769248284779e-19,3.3967633735514983e-18,14.910540781563277
6302.094,17.134559564153612,2542.101374126181,377.22617571482505,3.911870878486274e-18,5.142021513279116e-19,3.3976687271583617e-18,14.890487334252182
6305.682,17.115424594854563,2541.9892303269435,377.3574544833613,3.917947539557992e-18,5.19449878592049e-19,3.3984976609659427e-18,14.870804875634015
6309.278,17.096606514797628,2541.876544952626,377.48895793773573,3.923865477973492e-18,5.246110647705631e-19,3.399254413202929e-18,14.851486980316587
6312.875,17.078101612636967,2541.7633272653115,377.62068052721065,3.929619822260826e-18,5.29676614487668e-19,3.3999432077731578e-18,14.832527147174925
6316.468000000001,17.059906094241402,2541.649586818052,377.7526164928663,3.9352056473227054e-18,5.346373969344151e-19,3.4005682503882913e-18,14.813918804314188
6320.064,17.042016085199776,2541.5353334541674,377.8847598657921,3.940617988774355e-18,5.394842640531642e-19,3.4011337247211915e-18,14.795655314115603
