time/s,smt_CO2,smt_HCO3,smt_O2,PS_rate,Ub,Uc,cyt_CO2
4428.641,19.783745042382197,2575.7211370101495,340.6100932369365,2.8083497990844862e-18,6.292737135403543e-20,2.7454224277304505e-18,17.970464606837453
4432.226,19.74305102206302,2575.669702298898,340.70222196850756,2.8201779758020813e-18,6.476555753777036e-20,2.7554124182643105e-18,17.923172456407823
4435.813,19.70277235047628,2575.617435653635,340.794767285357,2.8319429968540683e-18,6.678242618755243e-20,2.7651605706665156e-18,17.876455382535486
4439.399,19.662909513457226,2575.564338891915,340.8877268840958,2.843644777159937e-18,6.89745181089347e-20,2.774670259051002e-18,17.830311642540792
4442.981,19.62346285999902,2575.5104139512673,340.9810984782018,2.855283254922948e-18,7.133833330950601e-20,2.783944921613442e-18,17.784739314577678
4446.569,19.584432602772413,2575.4556628879404,341.0748797987556,2.866858384224948e-18,7.387032737510336e-20,2.792988056849845e-18,17.739736300650854
4450.153,19.545818818780976,2575.400087875872,341.16906859481514,2.8783701276918663e-18,7.656690794816767e-20,2.8018032197436987e-18,17.695300329789333
4453.736,19.507621450165537,2575.3436912057346,341.263662633568,2.8898184492684207e-18,7.942443135065008e-20,2.810394017917771e-18,17.651428961392508
4457.319,19.46984030514362,2575.286475284161,341.3586597001638,2.901203307141382e-18,8.243919937888429e-20,2.8187641077624975e-18,17.60811958872668
4460.902,19.43247505908135,2575.2284426331626,341.4540575972244,2.912524646851872e-18,8.56074563060602e-20,2.8269171905458127e-18,17.56536944256633
4464.491,19.395525255694114,2575.169595889739,341.54985414403507,2.9237823946373966e-18,8.892538612783271e-20,2.8348570085095636e-18,17.523175594972983
4468.072,19.35899030837299,2575.1099378056792,341.6460471754159,2.934976450650773e-18,9.238910962873856e-20,2.8425873410220344e-18,17.481534963162822
4471.667,19.32286950163285,2575.049471247555,341.74263454028045,2.9461066823437746e-18,9.599468159333383e-20,2.8501120007504408e-18,17.44044431348273
4475.26,19.287161992678616,2574.9881991969073,341.8396140998825,2.957172918046086e-18,9.973808818639938e-20,2.857434829859686e-18,17.399900265487172
4478.854,19.251866813085496,2574.926124750621,341.9369837257617,2.968174940769897e-18,1.036152445261469e-19,2.8645596962437505e-18,17.359899296107535
4482.439,19.216982870589014,2574.863251121486,342.03474129739294,2.9791124822702097e-18,1.076219924744331e-19,2.871490489795776e-18,17.32043774390562
4486.025,19.18250895098058,2574.7995816389366,342.1328846995509,2.989985217390445e-18,1.1175409866775186e-19,2.878231118722693e-18,17.28151181340335
4489.606,19.14844372010398,2574.735119749965,342.23141181939934,3.0007927587222585e-18,1.1600725281218207e-19,2.8847855059100766e-18,17.243117579480142
4493.2,19.114785725948344,2574.6698690202006,342.3303205433194,3.0115346516076886e-18,1.2037706626513093e-19,2.891157585342558e-18,17.20525099183013
4496.786,19.08153340083284,2574.603833135145,342.42960875349,3.0222103695108718e-18,1.2485907092587974e-19,2.8973512985849917e-18,17.167907879470945
