,O2,CO2,45CO2,47CO2,49CO2,O2_Ar
336.089,379.6546243198287,3.227554884283929,-0.0875005101311409,-0.019523628005385433,-0.2089269608703389,369.6261969919313
339.673,379.62109856667183,2.9793402418410606,-0.038671108163177,-0.08349989742313667,-0.2500753481719233,362.3812655517615
343.26,380.20431387565384,3.216314584446712,0.047905088556945113,-0.19992936445552723,-0.25252426540012424,366.88580468951017
346.846,381.0583364684991,4.270408381088727,-0.10677846088471864,-0.17543373412170934,-0.15496313329706035,373.4049123708723
350.439,381.5274669452452,3.6325548704659005,-0.15854564150428008,-0.24126003378505875,-0.23941829130625486,377.30936576694836
354.024,379.8866280754767,2.9570830173910743,-0.26125027082165936,-0.07655157836672985,-0.1342446795592591,369.952373529635
357.608,379.57303860001883,4.079982231431438,-0.11401986173413971,-0.029476174747436516,-0.14513988368948771,367.3466328455637
361.2,378.7660695794982,3.391373281390353,-0.1604362777982232,-0.16820723746059815,-0.23567871458410597,367.74837827424227
364.792,378.58300799319125,2.8886621956685987,-0.14894700430662092,-0.11396157674070893,-0.2522605219407847,368.9235316249872
368.386,378.90795991118796,3.132921132395143,-0.07744617137704748,-0.09509464388265233,-0.2773786406711525,365.30237327191276
371.982,378.7683056047993,3.336865773201319,-0.2801613182881206,-0.23917967355208436,-0.09853527309834703,363.6587792720076
375.567,379.6145078827221,3.019103259178448,-0.15388039718822552,-0.11994325694256386,-0.18209549837938824,364.6045396222848
379.16,379.9342773369701,3.253189035529123,-0.2655841871484573,-0.2016207595531522,-0.2251904039453336,364.6937083338214
382.745,380.01403177197693,3.4455031984034155,-0.28377024605563766,-0.1411018066514825,-0.16316103225526246,368.5540063061629
386.336,378.63316672878744,3.9073123272527104,-0.11514488235353004,-0.15961343993703866,-0.13397107871840527,370.3750656575702
389.929,378.07387284132153,2.830723476157553,-0.18524712239675073,-0.10366223470148743,-0.1500908484712153,369.7282909609304
393.52,378.86048631867396,3.4058629510555307,-0.2260386699661022,-0.10953656709962797,-0.14024607582042828,365.46922313276184
397.106,379.2544407615527,4.099151463181837,-0.18388855463254183,-0.1233180837091593,-0.17694357646086517,367.0062617353901
400.699,379.47821603467645,3.4096317427332044,-0.22573646634897174,-0.12332537900571408,-0.20248162771261155,374.5308079385361
404.285,377.7939794292969,4.222604212819328,0.021872124136050188,-0.006014737708220428,-0.22265000756732697,372.21772267243887
407.871,378.5081156602705,3.447398340270336,-0.18572778412372098,-0.11149553613950326,-0.2318045357417469,367.2003528194917
411.457,378.70976351079213,3.1159312761109494,-0.11050628808939417,-0.14636123479310967,-0.2705915849220604,364.32939859144994
415.036,378.9879918873799,3.8983021874733454,-0.1726528656898294,-0.12242821862577098,-0.1892545896735107,368.4910560904917
